Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2007,2008,29,0,0,6995
2002,2009,29,0,0,435
2003,2009,29,0,0,3889
2004,2009,29,0,0,5014
2005,2009,29,0,0,4243
2006,2009,29,0,0,3944
2007,2009,29,0,0,4213
2002,2010,29,0,0,145
2003,2010,29,0,0,1295
2004,2010,29,0,0,1689
2005,2010,29,0,0,1414
2006,2010,29,0,0,1319
2007,2010,29,0,0,1407
2002,2006,30,0,0,870
2003,2006,30,0,0,7791
2004,2006,30,0,0,10257
2005,2006,30,0,0,8506
2002,2007,30,0,0,1732
2003,2007,30,0,0,15541
2004,2007,30,0,0,19780
2005,2007,30,0,0,16941
2006,2007,30,0,0,15777
2002,2008,30,0,0,1843
2003,2008,30,0,0,16431
2004,2008,30,0,0,20650
2005,2008,30,0,0,17806
2006,2008,30,0,0,16811
2007,2008,30,0,0,17793
2002,2009,30,0,0,1150
2003,2009,30,0,0,10303
2004,2009,30,0,0,13038
2005,2009,30,0,0,11220
2006,2009,30,0,0,10467
2007,2009,30,0,0,11184
2002,2010,30,0,0,290
2003,2010,30,0,0,2597
2004,2010,30,0,0,3398
2005,2010,30,0,0,2835
2006,2010,30,0,0,2638
2007,2010,30,0,0,2815
2003,2020,5,0,0,3951
2004,2020,5,0,0,3975
2005,2020,5,0,0,4068
2006,2020,5,0,0,4041
2007,2020,5,0,0,3945
2008,2020,5,0,0,2889
2009,2020,5,0,0,2628
2010,2020,5,0,0,2709
2011,2020,5,0,0,2697
2012,2020,5,0,0,2859
2013,2020,5,0,0,2562
2014,2020,5,0,0,2844
2015,2020,5,0,0,2268
2016,2020,5,0,0,4347
2017,2020,5,0,0,4536
2018,2020,5,0,0,4152
2019,2020,5,0,0,3528
2008,2010,6,0,0,963
2009,2010,6,0,0,876
2003,2013,6,0,0,3951
2004,2013,6,0,0,3975
2005,2013,6,0,0,4068
2006,2013,6,0,0,4041
2007,2013,6,0,0,3945
2008,2013,6,0,0,2889
